folio,voynich_word,target_word,type,confidence
14r,soshyfcholshorcheorykaiinsplant,sorrel,Superset Match,0.5
31r,ykeedarsaiincheckheysheolqokedyykeedychedyldyplant,siderica,Superset Match,0.5
31r,daiirsheeoshctheyokeol,siderica,Superset Match,0.5
31r,qoaiinychesokedysheeychedaiindarplant,siderica,Superset Match,0.5
31r,tshokeodyqokedyqotedycheparchedyraiindalplant,siderica,Superset Match,0.5
31r,qokeeycheydaiinqokeeyrairchekeysaiindaplant,siderica,Superset Match,0.5
31r,saiirorchedydaiinokeedy,siderica,Superset Match,0.5
37v,soiinsheyotoiincheytomplant,menthe,Superset Match,0.5
37v,soiinsheyotoiincheytomplant,mint,Superset Match,0.5
52v,ytcheycholcthodaiisshykoresechorchydamplant,heliotrope,Superset Match,0.5
52v,ykorokaiinckheeeydaiimplant,heliotrope,Superset Match,0.5
87v,ksheolqoarcfhsykaiinplantsaralaiimam,primrose,Superset Match,0.5
6v,daircshechodamdamokorotydoldom,casteroil,Superset Match,0.5
6v,qoairckhycholoochockhychekchoyckhyokolplantrychos,casteroil,Superset Match,0.5
6v,yodaiincthyschoroeesorplant,casteroil,Superset Match,0.5
10r,oykchorshorchorchykaiiindyplantchodaiinplant,chicory,Superset Match,0.5
10r,oqotarotorcfhycthorosainplantytoiinplant,chicory,Superset Match,0.5
10r,dcheycthoorcharchtyoschairotytcholokydaiinetyd,chicory,Superset Match,0.5
10r,sorchaiinchcthycthockhyoraiinchtchordoiirody,chicory,Superset Match,0.5
10r,dchyqokcholykchaiinytydaiincthplantdaindairam,chicory,Superset Match,0.5
10r,ycheorcthychorcthaiinqoctholydyplantchytaiinshy,chicory,Superset Match,0.5
10r,qotorotchydaiinchocthyqotchycholorytydydy,chicory,Superset Match,0.5
26v,saraiirchekedyqokedyotedysaryetedyqokedyorareealyschedy,horsetail,Superset Match,0.5
41v,ycheosolcheydaiinorchololaiinplantoteedyqoteoloteodarorain,coriander,Superset Match,0.5
45r,okaiinsharykyokykairdaldydalorcheoldal,orach,Superset Match,0.5
45r,dororchaindainykolodyytaiinqotcholkoldy,orach,Superset Match,0.5
45r,shorcthyqokyqokolqokaiincholcholykaiindarom,orach,Superset Match,0.5
45r,pykydalshaikhyotysheyqopcharopchalypcharofchar,orach,Superset Match,0.5
45r,lcharqorykardar,orach,Superset Match,0.5
45r,otcharokchardaiinytchodytchololotardaldary,orach,Superset Match,0.5
45r,kolshopchorkcheytyopchaldyotshyqokchydoldaiin,orach,Superset Match,0.5
45r,lorykaiinykeolykeolcham,orach,Superset Match,0.5
48v,lkeeyqocthedytaiinshedqokarotedydyplantdaintolkainotam,celandine,Superset Match,0.5
48v,cheytedyotchodyytchdyotaryotedycthdyplantokainchetychoolkeey,celandine,Superset Match,0.5
48v,shdyqokainokarotaroroteesolorainplantotalokytarchedyam,celandine,Superset Match,0.5
48v,alcheykorykeodyolkcheychodychedydalyplantokeeoraiinotarairam,celandine,Superset Match,0.5
51v,otaiinqodalytalcheodarsodyplantoteodaiinshokog,setariaitalica,Superset Match,0.5
51v,poshodyqokodarseodaiinqotalplantdscheeysaiindy,setariaitalica,Superset Match,0.5
51v,tchodycthychckheyqodytchodyplantdcholsaiinytam,millet,Superset Match,0.5
57r,daiissheedyqokeedychcteyplantotchodshekeytedyokoldm,ladysmantle,Superset Match,0.5
57r,tairsheedylchedyckhchdyplantokchychedydalqokedam,ladysmantle,Superset Match,0.5
87r,solsheorysaiinchorcheorykchodyplant,aloe,Superset Match,0.5
87r,psheodshydalsheesaldalsholaldyplant,aloe,Superset Match,0.5
87r,daiinsholctheyokeolcheorokeeodaiimplant,aloe,Superset Match,0.5
87r,keorckheeyshodyqoeeeetyschodydaiinplant,aloe,Superset Match,0.5
87r,soraiinqockhoscheodorckheokeychcthodysodarplant,aloe,Superset Match,0.5
87r,tchosoteedyykeeyctheodykeossheekcheysaiidyplant,aloe,Superset Match,0.5
87r,shoscheolcheosckheysaiinqockheoldaiinplant,aloe,Superset Match,0.5
87r,yteeodalchokeeodyshykolsalschekolplant,aloe,Superset Match,0.5
87r,tosshekeodaiinfcheossheososhkeodysoraiinplant,aloe,Superset Match,0.5
87r,sorshoctheyoteodydcholsoraiinplant,aloe,Superset Match,0.5
87r,shocthoscheodalctheodyqotyplant,aloe,Superset Match,0.5
87r,poalshsalshocphorypchocpheosaiinoteodalsaiinplant,aloe,Superset Match,0.5
87r,ysheeeschetchyteodarotcheoltockhyplant,aloe,Superset Match,0.5
87r,daiinctheeyckheckhycthodychorsaldarchorplant,aloe,Superset Match,0.5
87r,dcheeckhoschetycthodalyteodamcpheckhysyty,aloe,Superset Match,0.5
38v,okchopcholshotoloteolokeeysplantchordaiind,stonecrops,Superset Match,0.5
50v,pochedyqokodycheckhyshckhydalolykeeeyqokedyokainokal,soldanella,Superset Match,0.5
90v2,sheyssheeylsheolsheodytolsheocttyplantoteeychodarchoy,tansy,Superset Match,0.5
90v2,tcheodycpheolqoarcheolchosololsplantdshchealsheolqodar,tansy,Superset Match,0.5
90v2,podcheyctheodikheeoscheeyykeeysoesplantqokoorsoinsam,tansy,Superset Match,0.5
90v2,salsheolsheyqokeeyqokeolcheodysplantykeeoldarchodyy,tansy,Superset Match,0.5
90v2,teeosqkeodyqokchyoteeoldain,tansy,Superset Match,0.5
90v2,tchosoteeysaiinokeeey,tansy,Superset Match,0.5
90v2,saiinsheomsheeykeeosolcheeorchyplantshytchodyokeeom,tansy,Superset Match,0.5
90v2,cphdaithyqocfheyopolraiinofchedolrsplantsheseshodaiinsheos,tansy,Superset Match,0.5
93r,kodsholotolsheeosocthodalyopalefomoepchksheeyqotodainsoar,artichoke,Superset Match,0.5
94v,pchedaiinsheocthydaiincphedypchdplantoteeyqotchyparar,lychniscoronaria,Superset Match,0.5
94v,olaircheeyokchaiinshytararaiinplantotodyqodaroteeydar,lychniscoronaria,Superset Match,0.5
94v,todaiinshcthhyqokarchetaiinchdyplantykolqokyoreedyoky,lychniscoronaria,Superset Match,0.5
94v,tedainchedyqokshdokchdyqokealplantchorchortchoram,rosecampion,Superset Match,0.5
95v1,tsheytaiinolksholkshedqokeeodraiinqokeeyqokoskchdy,alcea,Superset Match,0.5
95v1,dsheykainqokaroltarchytarotarchdykchdydolkainotardy,alcea,Superset Match,0.5
95v1,okshytshorqokshqokainotarotyqokedyotalytchdyqokaram,alcea,Superset Match,0.5
95v1,tshdolqokshydchdyshedydksheychefarotchdyolshedarchdam,alcea,Superset Match,0.5
95v1,dchodysheosqodaiinfchodaiinchtaldarokedyokchedy,alcea,Superset Match,0.5
95v1,tchedyqokalotysheksheyotaldyoksheyytshedyakararytychdy,alcea,Superset Match,0.5
95v1,lsheeqodainokaiinotodychcthy,alcea,Superset Match,0.5
95v1,shotsheysaiinodyolkchdyqotaiinshcthydolkchytchdaiindal,alcea,Superset Match,0.5
95v1,tolteedycthoepainoekshyqofchdaiinshoyfarokshyokainaralfshed,alcea,Superset Match,0.5
95v1,otalshedyodaiinchey,alcea,Superset Match,0.5
95v1,tchodyqokaiinycharokainsheodychedychcthykedyetydainal,alcea,Superset Match,0.5
95v1,tsheytaiinolksholkshedqokeeodraiinqokeeyqokoskchdy,hollyhock,Superset Match,0.5
95v1,dsheykainqokaroltarchytarotarchdykchdydolkainotardy,hollyhock,Superset Match,0.5
95v1,tshdolqokshydchdyshedydksheychefarotchdyolshedarchdam,hollyhock,Superset Match,0.5
95v1,tchedyqokalotysheksheyotaldyoksheyytshedyakararytychdy,hollyhock,Superset Match,0.5
95v1,shotsheysaiinodyolkchdyqotaiinshcthydolkchytchdaiindal,hollyhock,Superset Match,0.5
95v1,tolteedycthoepainoekshyqofchdaiinshoyfarokshyokainaralfshed,hollyhock,Superset Match,0.5
