Root,Candidate Language,Candidate Meaning,Confidence
mail,Latin,mel (honey),0.4
oetor,Medieval/Latin,earth (via otar),0.4
oetor,Medieval/Latin,earth (via tar),0.4
oetor,Medieval/Latin,earth (via otor),0.4
oetor,Medieval/Latin,earth (via tor),0.4
oetor,Medieval/Latin,earth (via ytar),0.4
oetor,Proto-Romance,terra (earth),0.4
oetor,Latin,terra (earth),0.4
qotsho,Latin Abbrev,con-/com- prefix,0.4
qoteei,Latin Abbrev,con-/com- prefix,0.4
qotcha,Latin Abbrev,con-/com- prefix,0.4
qotoa,Latin Abbrev,con-/com- prefix,0.4
qokog,Latin Abbrev,con-/com- prefix,0.4
qokche,Latin Abbrev,con-/com- prefix,0.4
qokh,Latin Abbrev,con-/com- prefix,0.4
qokoq,Latin Abbrev,con-/com- prefix,0.4
qotof,Latin Abbrev,con-/com- prefix,0.4
ytom,Proto-Romance,timo (thyme),0.4
qlor,Latin Abbrev,con-/com- prefix,0.4
qodcho,Latin Abbrev,con-/com- prefix,0.4
qokeepe,Latin Abbrev,con-/com- prefix,0.4
qotchof,Latin Abbrev,con-/com- prefix,0.4
qakar,Latin Abbrev,con-/com- prefix,0.4
seor,Medieval/Latin,barley (via sar),0.4
seor,Medieval/Latin,barley (via sor),0.4
seor,Medieval/Latin,barley (via sair),0.4
seor,Medieval/Latin,barley (via sary),0.4
seor,Medieval/Latin,barley (via saiir),0.4
seear,Medieval/Latin,barley (via sar),0.4
seear,Medieval/Latin,barley (via sor),0.4
seear,Medieval/Latin,barley (via sair),0.4
seear,Medieval/Latin,barley (via sary),0.4
seear,Medieval/Latin,barley (via saiir),0.4
qto,Latin Abbrev,con-/com- prefix,0.4
qokkain,Latin Abbrev,con-/com- prefix,0.4
qokra,Latin Abbrev,con-/com- prefix,0.4
qokeg,Latin Abbrev,con-/com- prefix,0.4
qokeh,Latin Abbrev,con-/com- prefix,0.4
qeoke,Latin Abbrev,con-/com- prefix,0.4
qotchee,Latin Abbrev,con-/com- prefix,0.4
qgk,Latin Abbrev,con-/com- prefix,0.4
qykeeo,Latin Abbrev,con-/com- prefix,0.4
qoctche,Latin Abbrev,con-/com- prefix,0.4
qoetche,Latin Abbrev,con-/com- prefix,0.4
qke,Latin Abbrev,con-/com- prefix,0.4
qoaiir,Latin Abbrev,con-/com- prefix,0.4
qtar,Latin Abbrev,con-/com- prefix,0.4
som,Medieval/Latin,seed (via sam),0.4
som,Proto-Romance,seme (seed),0.4
qotais,Latin Abbrev,con-/com- prefix,0.4
qoekal,Latin Abbrev,con-/com- prefix,0.4
qopr,Latin Abbrev,con-/com- prefix,0.4
qokesd,Latin Abbrev,con-/com- prefix,0.4
daol,Latin,dolor (pain),0.4
qokoe,Latin Abbrev,con-/com- prefix,0.4
qoekche,Latin Abbrev,con-/com- prefix,0.4
okora,Medieval/Latin,heart (via okar),0.4
okora,Medieval/Latin,heart (via kar),0.4
okora,Medieval/Latin,heart (via okor),0.4
okora,Medieval/Latin,heart (via ykar),0.4
okora,Medieval/Latin,heart (via kor),0.4
okora,Medieval/Latin,cure (via okar),0.4
okora,Medieval/Latin,cure (via kar),0.4
okora,Medieval/Latin,cure (via okor),0.4
okora,Medieval/Latin,cure (via ykar),0.4
okora,Medieval/Latin,cure (via kor),0.4
okora,Proto-Romance,cuore (heart),0.4
okora,Proto-Romance,cura (cure),0.4
okora,Latin,cor/cura (heart/cure),0.4
edal,Latin,dolor (pain),0.4
qoka,Latin Abbrev,con-/com- prefix,0.4
qockhh,Latin Abbrev,con-/com- prefix,0.4
qodkee,Latin Abbrev,con-/com- prefix,0.4
oteem,Proto-Romance,timo (thyme),0.4
daliir,Proto-Romance,dolore (pain),0.4
seal,Medieval/Latin,salt (via sol),0.4
seal,Medieval/Latin,salt (via sal),0.4
seal,Medieval/Latin,salt (via osal),0.4
seal,Medieval/Latin,salt (via saly),0.4
seal,Medieval/Latin,sun (via sol),0.4
seal,Medieval/Latin,sun (via sal),0.4
seal,Medieval/Latin,sun (via osal),0.4
seal,Medieval/Latin,sun (via saly),0.4
seal,Proto-Romance,sale (salt),0.4
seal,Proto-Romance,sole (sun),0.4
seal,Latin,sol (sun),0.4
okara,Medieval/Latin,heart (via okar),0.4
okara,Medieval/Latin,heart (via kar),0.4
